Date,Open,High,Low,Close,Volume
2025-02-25 05:35:00,32.32,32.335,32.31,32.335,93
2025-02-25 05:40:00,32.33,32.338,32.298,32.31,141
2025-02-25 05:45:00,32.308,32.32,32.295,32.31,89
2025-02-25 05:50:00,32.307,32.334,32.297,32.313,109
2025-02-25 05:55:00,32.311,32.311,32.247,32.27,125
2025-02-25 06:00:00,32.268,32.306,32.261,32.272,196
2025-02-25 06:05:00,32.274,32.298,32.258,32.283,166
2025-02-25 06:10:00,32.285,32.288,32.257,32.283,80
2025-02-25 06:15:00,32.277,32.298,32.263,32.297,151
2025-02-25 06:20:00,32.298,32.323,32.294,32.307,91
2025-02-25 06:25:00,32.306,32.309,32.259,32.266,169
2025-02-25 06:30:00,32.268,32.27,32.25,32.263,124
2025-02-25 06:35:00,32.26,32.268,32.249,32.25,66
2025-02-25 06:40:00,32.253,32.266,32.248,32.263,116
2025-02-25 06:45:00,32.258,32.278,32.248,32.272,199
2025-02-25 06:50:00,32.275,32.28,32.255,32.275,113
2025-02-25 06:55:00,32.278,32.297,32.27,32.277,116
2025-02-25 07:00:00,32.275,32.28,32.245,32.247,109
2025-02-25 07:05:00,32.25,32.3,32.25,32.3,137
2025-02-25 07:10:00,32.303,32.349,32.3,32.333,99
2025-02-25 07:15:00,32.332,32.368,32.32,32.346,108
2025-02-25 07:20:00,32.344,32.355,32.311,32.316,130
2025-02-25 07:25:00,32.315,32.326,32.288,32.296,122
2025-02-25 07:30:00,32.298,32.309,32.275,32.288,125
2025-02-25 07:35:00,32.29,32.298,32.273,32.29,95
2025-02-25 07:40:00,32.294,32.294,32.193,32.193,166
2025-02-25 07:45:00,32.19,32.2,32.12,32.151,206
2025-02-25 07:50:00,32.153,32.157,32.095,32.143,247
2025-02-25 07:55:00,32.138,32.145,32.017,32.02,175
2025-02-25 08:00:00,32.022,32.128,32.021,32.093,331
2025-02-25 08:05:00,32.092,32.13,32.079,32.123,250
2025-02-25 08:10:00,32.124,32.155,32.113,32.148,200
2025-02-25 08:15:00,32.146,32.15,32.097,32.106,156
2025-02-25 08:20:00,32.103,32.131,32.103,32.106,101
2025-02-25 08:25:00,32.109,32.17,32.109,32.154,139
2025-02-25 08:30:00,32.158,32.163,32.12,32.13,89
2025-02-25 08:35:00,32.127,32.194,32.115,32.185,119
2025-02-25 08:40:00,32.189,32.21,32.178,32.179,110
2025-02-25 08:45:00,32.183,32.193,32.153,32.165,146
2025-02-25 08:50:00,32.162,32.213,32.16,32.205,157
2025-02-25 08:55:00,32.208,32.225,32.194,32.21,120
2025-02-25 09:00:00,32.208,32.22,32.202,32.205,148
2025-02-25 09:05:00,32.202,32.218,32.198,32.2,115
2025-02-25 09:10:00,32.198,32.202,32.153,32.182,106
2025-02-25 09:15:00,32.18,32.189,32.17,32.175,115
2025-02-25 09:20:00,32.176,32.195,32.173,32.18,98
2025-02-25 09:25:00,32.183,32.209,32.183,32.19,119
2025-02-25 09:30:00,32.191,32.212,32.181,32.21,120
