Date,Open,High,Low,Close,Volume
2025-02-25 05:35:00,1.3378,1.33784,1.33761,1.33773,195
2025-02-25 05:40:00,1.33774,1.33809,1.33767,1.33807,202
2025-02-25 05:45:00,1.33806,1.33807,1.33787,1.33789,190
2025-02-25 05:50:00,1.3379,1.3381,1.3379,1.33809,179
2025-02-25 05:55:00,1.3381,1.33819,1.33782,1.33796,325
2025-02-25 06:00:00,1.33797,1.33801,1.33773,1.33781,200
2025-02-25 06:05:00,1.33778,1.33786,1.33761,1.33773,139
2025-02-25 06:10:00,1.33774,1.3378,1.33762,1.33775,125
2025-02-25 06:15:00,1.33774,1.33791,1.33768,1.33788,128
2025-02-25 06:20:00,1.33787,1.33791,1.33765,1.33766,124
2025-02-25 06:25:00,1.33765,1.33777,1.33747,1.33775,209
2025-02-25 06:30:00,1.33777,1.33788,1.33765,1.33784,254
2025-02-25 06:35:00,1.33782,1.33816,1.33782,1.33813,188
2025-02-25 06:40:00,1.33812,1.3385,1.33809,1.33835,192
2025-02-25 06:45:00,1.33834,1.3387,1.33833,1.33854,275
2025-02-25 06:50:00,1.33853,1.33871,1.33851,1.33867,207
2025-02-25 06:55:00,1.33868,1.33871,1.33825,1.33833,250
2025-02-25 07:00:00,1.33832,1.33888,1.33825,1.33866,301
2025-02-25 07:05:00,1.33865,1.33881,1.33855,1.33865,266
2025-02-25 07:10:00,1.33867,1.33867,1.33827,1.33843,258
2025-02-25 07:15:00,1.33842,1.33844,1.33809,1.33834,288
2025-02-25 07:20:00,1.33833,1.33854,1.33828,1.33847,310
2025-02-25 07:25:00,1.33848,1.33852,1.33825,1.33845,311
2025-02-25 07:30:00,1.33846,1.33864,1.33827,1.33841,334
2025-02-25 07:35:00,1.3384,1.33849,1.33826,1.33844,270
2025-02-25 07:40:00,1.33845,1.33859,1.33837,1.33843,241
2025-02-25 07:45:00,1.33844,1.33867,1.3383,1.33852,240
2025-02-25 07:50:00,1.33851,1.33858,1.3383,1.33854,292
2025-02-25 07:55:00,1.33855,1.339,1.33832,1.33898,438
2025-02-25 08:00:00,1.33899,1.3394,1.33895,1.339,487
2025-02-25 08:05:00,1.33901,1.33909,1.33875,1.33875,260
2025-02-25 08:10:00,1.33877,1.33886,1.33855,1.33875,304
2025-02-25 08:15:00,1.33876,1.33884,1.33856,1.33867,335
2025-02-25 08:20:00,1.33866,1.33926,1.33866,1.33925,312
2025-02-25 08:25:00,1.33924,1.33938,1.3391,1.3392,304
2025-02-25 08:30:00,1.33921,1.33946,1.33911,1.3394,350
2025-02-25 08:35:00,1.33938,1.33953,1.33916,1.33917,267
2025-02-25 08:40:00,1.33918,1.33924,1.33904,1.33919,191
2025-02-25 08:45:00,1.33918,1.33919,1.33888,1.33908,289
2025-02-25 08:50:00,1.33909,1.33909,1.33877,1.33889,295
2025-02-25 08:55:00,1.33891,1.33911,1.33884,1.33891,311
2025-02-25 09:00:00,1.33893,1.33898,1.33873,1.33898,275
2025-02-25 09:05:00,1.33897,1.33917,1.33896,1.33904,280
2025-02-25 09:10:00,1.33905,1.33929,1.33904,1.33923,236
2025-02-25 09:15:00,1.33924,1.33927,1.33896,1.33904,220
2025-02-25 09:20:00,1.33902,1.3391,1.33886,1.33907,191
2025-02-25 09:25:00,1.33908,1.33914,1.33877,1.33914,235
2025-02-25 09:30:00,1.33915,1.33928,1.3391,1.33923,198
