Date,Open,High,Low,Close,Volume
2024-05-02 00:00:00,2324.07,2326.43,2321.78,2324.13,4055
2024-05-02 04:00:00,2324.12,2325.56,2312.98,2314.93,8384
2024-05-02 08:00:00,2314.95,2319.05,2298.78,2301.83,12483
2024-05-02 12:00:00,2301.83,2304.44,2285.5,2291.06,16178
2024-05-02 16:00:00,2291.62,2308.52,2287.67,2308.05,17035
2024-05-02 20:00:00,2308.01,2309.43,2300.59,2302.94,6539
2024-05-03 00:00:00,2304.97,2306.3,2300.21,2302.57,7000
2024-05-03 04:00:00,2302.45,2308.75,2299.88,2306.0,7274
2024-05-03 08:00:00,2306.09,2306.39,2297.77,2301.51,13328
2024-05-03 12:00:00,2301.57,2320.59,2277.38,2291.07,17200
2024-05-03 16:00:00,2298.51,2303.08,2283.06,2302.04,16707
2024-05-03 20:00:00,2302.07,2303.27,2296.0,2300.95,5563
2024-05-06 00:00:00,2302.1,2309.08,2291.79,2308.35,10867
2024-05-06 04:00:00,2308.37,2315.31,2307.5,2313.29,10824
2024-05-06 08:00:00,2313.56,2324.15,2311.79,2321.17,13180
2024-05-06 12:00:00,2321.13,2331.99,2314.54,2327.91,16133
2024-05-06 16:00:00,2327.97,2330.51,2318.11,2324.66,15286
2024-05-06 20:00:00,2324.66,2328.73,2323.46,2324.31,5065
2024-05-07 00:00:00,2325.07,2329.88,2322.13,2322.78,9029
2024-05-07 04:00:00,2322.79,2325.06,2319.63,2321.48,9754
2024-05-07 08:00:00,2321.36,2321.93,2311.72,2313.74,12161
2024-05-07 12:00:00,2313.73,2323.63,2310.01,2318.46,14871
2024-05-07 16:00:00,2318.36,2322.43,2311.06,2314.31,14228
2024-05-07 20:00:00,2314.05,2315.53,2311.78,2313.76,4959
2024-05-08 00:00:00,2314.99,2316.63,2306.97,2307.75,6807
2024-05-08 04:00:00,2307.57,2321.32,2307.35,2317.73,9458
2024-05-08 08:00:00,2317.64,2318.77,2303.72,2310.8,14225
2024-05-08 12:00:00,2310.84,2318.9,2306.89,2309.95,17172
2024-05-08 16:00:00,2310.17,2321.01,2309.01,2313.86,14029
2024-05-08 20:00:00,2313.88,2313.88,2307.94,2308.63,5214
2024-05-09 00:00:00,2309.55,2312.16,2307.85,2309.87,6333
2024-05-09 04:00:00,2309.87,2319.69,2307.87,2316.53,9212
2024-05-09 08:00:00,2316.54,2317.05,2306.73,2307.58,13070
2024-05-09 12:00:00,2307.55,2329.33,2307.29,2324.42,16900
2024-05-09 16:00:00,2324.38,2338.71,2323.32,2334.76,15402
2024-05-09 20:00:00,2334.76,2347.17,2333.87,2345.1,6212
2024-05-10 00:00:00,2345.71,2355.79,2344.53,2350.27,8713
2024-05-10 04:00:00,2350.23,2358.78,2347.17,2357.08,10431
2024-05-10 08:00:00,2357.08,2375.26,2355.99,2372.45,14687
2024-05-10 12:00:00,2372.45,2378.32,2360.17,2367.78,17120
2024-05-10 16:00:00,2366.68,2372.92,2356.62,2369.52,16650
2024-05-10 20:00:00,2369.62,2370.91,2359.62,2360.77,4962
2024-05-13 00:00:00,2361.39,2364.42,2354.8,2359.15,9081
2024-05-13 04:00:00,2359.15,2359.82,2351.24,2352.61,9029
2024-05-13 08:00:00,2352.61,2354.37,2339.1,2340.13,13427
2024-05-13 12:00:00,2340.16,2349.78,2338.47,2344.07,15530
2024-05-13 16:00:00,2344.03,2345.95,2332.11,2335.92,14735
2024-05-13 20:00:00,2335.94,2338.44,2335.19,2336.45,4256
2024-05-14 00:00:00,2337.22,2342.02,2334.84,2341.91,6479
2024-05-14 04:00:00,2341.91,2345.9,2339.99,2344.7,8707
2024-05-14 08:00:00,2344.73,2348.19,2336.07,2345.83,13009
2024-05-14 12:00:00,2345.83,2354.87,2336.62,2353.86,16518
2024-05-14 16:00:00,2353.76,2357.03,2346.43,2355.88,16727
2024-05-14 20:00:00,2355.88,2359.61,2355.01,2357.82,4707
2024-05-15 00:00:00,2356.99,2358.96,2354.84,2357.46,6735
2024-05-15 04:00:00,2357.33,2360.96,2355.73,2358.51,8494
2024-05-15 08:00:00,2358.44,2374.27,2356.83,2369.24,14231
2024-05-15 12:00:00,2369.31,2378.41,2351.84,2358.07,17282
2024-05-15 16:00:00,2357.8,2390.23,2353.89,2389.23,17390
2024-05-15 20:00:00,2389.23,2389.37,2383.58,2387.21,5339
2024-05-16 00:00:00,2387.61,2397.25,2386.94,2391.52,10106
2024-05-16 04:00:00,2391.55,2394.52,2386.65,2390.24,12778
2024-05-16 08:00:00,2390.26,2391.36,2383.65,2385.37,15966
2024-05-16 12:00:00,2385.43,2386.62,2371.78,2375.18,18733
2024-05-16 16:00:00,2374.96,2383.81,2371.02,2381.49,16786
2024-05-16 20:00:00,2381.51,2382.06,2375.8,2376.11,5978
2024-05-17 00:00:00,2377.85,2379.73,2376.28,2378.25,8140
2024-05-17 04:00:00,2378.4,2382.4,2374.05,2381.35,10955
2024-05-17 08:00:00,2381.33,2387.84,2380.97,2382.56,14686
2024-05-17 12:00:00,2382.56,2405.22,2381.86,2401.69,17527
2024-05-17 16:00:00,2401.81,2418.97,2398.85,2414.31,19559
2024-05-17 20:00:00,2414.36,2422.74,2411.53,2414.26,8868
2024-05-20 00:00:00,2423.02,2440.51,2416.6,2434.6,13770
2024-05-20 04:00:00,2434.71,2450.07,2428.94,2449.5,16272
2024-05-20 08:00:00,2449.68,2449.68,2432.1,2441.7,19057
2024-05-20 12:00:00,2441.6,2443.07,2407.4,2420.14,22087
2024-05-20 16:00:00,2420.23,2436.75,2414.85,2435.35,19694
2024-05-20 20:00:00,2435.32,2437.35,2423.37,2425.06,9613
2024-05-21 00:00:00,2427.0,2433.06,2419.63,2420.47,11261
2024-05-21 04:00:00,2420.42,2422.62,2406.43,2416.51,15660
2024-05-21 08:00:00,2416.55,2422.11,2408.7,2416.36,18011
2024-05-21 12:00:00,2416.36,2431.53,2414.8,2427.79,19401
2024-05-21 16:00:00,2427.97,2433.96,2418.17,2420.0,20132
2024-05-21 20:00:00,2419.86,2425.08,2417.61,2420.71,7083
2024-05-22 00:00:00,2421.23,2423.45,2419.38,2422.01,8588
2024-05-22 04:00:00,2422.05,2426.59,2411.78,2417.13,14694
2024-05-22 08:00:00,2417.28,2418.58,2410.66,2417.4,17326
2024-05-22 12:00:00,2417.33,2419.34,2404.84,2411.8,19554
2024-05-22 16:00:00,2410.76,2410.91,2382.31,2388.55,20834
2024-05-22 20:00:00,2388.78,2390.78,2375.06,2378.07,11515
2024-05-23 00:00:00,2379.4,2383.66,2366.84,2373.04,10992
2024-05-23 04:00:00,2373.02,2375.77,2358.44,2359.94,13041
2024-05-23 08:00:00,2360.15,2367.3,2355.04,2364.16,17885
2024-05-23 12:00:00,2364.19,2369.85,2350.77,2358.63,18880
2024-05-23 16:00:00,2358.55,2363.92,2331.88,2332.27,21548
2024-05-23 20:00:00,2332.3,2336.41,2326.68,2328.56,9543
2024-05-24 00:00:00,2328.71,2335.19,2326.8,2333.84,10034
2024-05-24 04:00:00,2333.84,2339.26,2325.46,2338.53,12719
2024-05-24 08:00:00,2338.57,2343.32,2334.89,2337.63,14786
2024-05-24 12:00:00,2337.6,2347.37,2335.94,2336.66,16587
2024-05-24 16:00:00,2337.3,2343.24,2331.96,2332.71,17037
2024-05-24 20:00:00,2332.72,2336.77,2331.95,2333.18,6336
2024-05-27 00:00:00,2335.59,2340.75,2331.68,2339.72,9254
2024-05-27 04:00:00,2339.71,2347.62,2338.82,2343.84,11229
2024-05-27 08:00:00,2343.81,2346.17,2338.19,2343.32,12076
2024-05-27 12:00:00,2343.37,2357.05,2342.48,2355.02,14317
2024-05-27 16:00:00,2355.05,2358.52,2352.2,2355.05,12477
2024-05-27 20:00:00,2355.08,2355.13,2350.03,2350.08,695
2024-05-28 00:00:00,2352.38,2356.4,2349.23,2354.75,8641
2024-05-28 04:00:00,2354.78,2355.9,2349.66,2350.55,10287
2024-05-28 08:00:00,2350.44,2350.44,2340.32,2343.86,15167
2024-05-28 12:00:00,2343.84,2364.14,2343.23,2355.13,16750
2024-05-28 16:00:00,2354.32,2362.22,2347.99,2356.92,19526
2024-05-28 20:00:00,2356.84,2360.92,2352.85,2360.6,7628
2024-05-29 00:00:00,2360.08,2361.37,2355.74,2356.51,9623
2024-05-29 04:00:00,2356.46,2361.37,2354.5,2356.82,12876
2024-05-29 08:00:00,2356.78,2356.78,2340.93,2345.77,18525
2024-05-29 12:00:00,2345.71,2347.28,2334.61,2345.73,19289
2024-05-29 16:00:00,2345.73,2346.46,2336.1,2343.71,17496
2024-05-29 20:00:00,2343.71,2344.35,2336.05,2338.04,7185
2024-05-30 00:00:00,2338.57,2339.91,2332.92,2334.11,10774
2024-05-30 04:00:00,2333.98,2337.2,2322.74,2325.05,15677
2024-05-30 08:00:00,2325.06,2338.04,2324.0,2333.18,17975
2024-05-30 12:00:00,2333.22,2348.65,2330.69,2348.65,19926
2024-05-30 16:00:00,2348.71,2351.77,2340.95,2344.45,17766
2024-05-30 20:00:00,2344.46,2344.55,2339.98,2342.61,7408
2024-05-31 00:00:00,2343.47,2347.69,2342.07,2346.62,10697
2024-05-31 04:00:00,2346.62,2347.79,2337.06,2342.47,13614
2024-05-31 08:00:00,2342.34,2347.06,2339.72,2342.15,14518
2024-05-31 12:00:00,2342.07,2359.8,2341.6,2348.17,17389
2024-05-31 16:00:00,2348.35,2349.11,2323.97,2326.0,21242
2024-05-31 20:00:00,2326.0,2330.61,2320.6,2326.44,8648
2024-06-03 00:00:00,2328.11,2331.06,2323.34,2330.82,10348
2024-06-03 04:00:00,2330.79,2331.0,2315.4,2320.22,13845
2024-06-03 08:00:00,2320.11,2328.88,2314.77,2327.78,16906
2024-06-03 12:00:00,2327.79,2336.66,2325.76,2332.65,18206
2024-06-03 16:00:00,2335.11,2354.76,2335.11,2348.48,19666
2024-06-03 20:00:00,2348.54,2351.09,2344.75,2350.9,7505
2024-06-04 00:00:00,2351.39,2352.83,2343.34,2347.13,8916
2024-06-04 04:00:00,2347.13,2349.94,2344.15,2347.8,11379
2024-06-04 08:00:00,2347.75,2351.74,2326.92,2329.93,18694
2024-06-04 12:00:00,2329.99,2337.96,2322.22,2323.96,20007
2024-06-04 16:00:00,2326.72,2332.54,2315.62,2328.82,19630
2024-06-04 20:00:00,2328.81,2329.81,2326.0,2326.81,7179
2024-06-05 00:00:00,2328.19,2330.93,2325.92,2330.5,7705
2024-06-05 04:00:00,2330.54,2341.7,2329.98,2337.41,12070
2024-06-05 08:00:00,2337.41,2338.45,2328.14,2332.33,16387
2024-06-05 12:00:00,2332.28,2345.93,2329.57,2343.34,18200
2024-06-05 16:00:00,2344.14,2357.41,2334.24,2355.08,19132
2024-06-05 20:00:00,2355.09,2356.67,2352.68,2354.82,6737
2024-06-06 00:00:00,2355.66,2373.11,2354.62,2367.51,9551
2024-06-06 04:00:00,2367.51,2374.98,2365.18,2367.77,12723
2024-06-06 08:00:00,2367.8,2368.33,2358.57,2361.63,14084
2024-06-06 12:00:00,2361.63,2366.89,2353.44,2360.56,16819
2024-06-06 16:00:00,2360.59,2378.5,2358.6,2373.18,18186
2024-06-06 20:00:00,2373.19,2376.18,2369.03,2375.96,7349
2024-06-07 00:00:00,2376.33,2380.04,2370.23,2371.04,9286
2024-06-07 04:00:00,2371.04,2387.69,2369.47,2375.99,14513
2024-06-07 08:00:00,2375.91,2379.32,2337.49,2339.33,19001
2024-06-07 12:00:00,2339.38,2339.38,2305.12,2309.47,21229
2024-06-07 16:00:00,2309.55,2321.06,2303.1,2305.5,19278
2024-06-07 20:00:00,2305.67,2307.17,2286.71,2292.78,10148
2024-06-10 00:00:00,2289.88,2300.01,2289.81,2297.69,9100
2024-06-10 04:00:00,2297.65,2301.25,2292.2,2295.66,10909
2024-06-10 08:00:00,2295.85,2297.51,2287.78,2295.34,15963
2024-06-10 12:00:00,2295.36,2308.56,2295.36,2305.66,17359
2024-06-10 16:00:00,2305.65,2313.84,2301.36,2311.88,15783
2024-06-10 20:00:00,2311.88,2312.27,2308.53,2310.47,5788
2024-06-11 00:00:00,2310.47,2312.13,2301.73,2302.84,9781
2024-06-11 04:00:00,2302.81,2304.38,2297.75,2299.58,14517
2024-06-11 08:00:00,2299.66,2307.77,2298.73,2306.54,17040
2024-06-11 12:00:00,2306.38,2319.94,2305.3,2314.62,19486
2024-06-11 16:00:00,2314.72,2317.81,2305.95,2312.81,17426
2024-06-11 20:00:00,2312.85,2316.57,2312.2,2316.37,6559
2024-06-12 00:00:00,2316.6,2317.6,2310.88,2314.44,8671
2024-06-12 04:00:00,2314.44,2316.79,2310.75,2315.04,10712
2024-06-12 08:00:00,2315.04,2317.75,2310.84,2314.07,13355
2024-06-12 12:00:00,2314.1,2341.66,2311.65,2329.87,17956
2024-06-12 16:00:00,2329.84,2339.61,2320.1,2335.14,17739
2024-06-12 20:00:00,2326.68,2333.94,2315.88,2324.23,12474
2024-06-13 00:00:00,2324.25,2324.34,2308.19,2312.71,10386
2024-06-13 04:00:00,2312.72,2316.28,2308.99,2311.66,12281
2024-06-13 08:00:00,2311.52,2318.6,2311.22,2315.51,14737
2024-06-13 12:00:00,2315.48,2326.67,2304.05,2310.8,19045
2024-06-13 16:00:00,2310.42,2317.1,2295.67,2301.46,18725
2024-06-13 20:00:00,2301.27,2304.97,2300.13,2303.98,5909
2024-06-14 00:00:00,2303.72,2307.2,2301.62,2306.08,7987
2024-06-14 04:00:00,2306.04,2311.67,2303.59,2309.98,12025
2024-06-14 08:00:00,2309.9,2322.74,2307.53,2322.64,16802
