Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-18 07:15:00-04:00,2323.5,2324.60009765625,2323.39990234375,2324.39990234375,2324.39990234375,0
2024-06-18 07:20:00-04:00,2324.5,2325.199951171875,2324.199951171875,2325.0,2325.0,324
2024-06-18 07:25:00-04:00,2324.89990234375,2325.800048828125,2324.39990234375,2325.5,2325.5,348
2024-06-18 07:30:00-04:00,2325.5,2326.0,2325.199951171875,2325.300048828125,2325.300048828125,332
2024-06-18 07:35:00-04:00,2325.39990234375,2325.39990234375,2323.699951171875,2324.10009765625,2324.10009765625,401
2024-06-18 07:40:00-04:00,2324.10009765625,2325.800048828125,2324.0,2325.60009765625,2325.60009765625,307
2024-06-18 07:45:00-04:00,2325.800048828125,2327.5,2325.5,2327.39990234375,2327.39990234375,454
2024-06-18 07:50:00-04:00,2327.39990234375,2328.60009765625,2326.699951171875,2327.199951171875,2327.199951171875,642
2024-06-18 07:55:00-04:00,2327.199951171875,2328.60009765625,2326.800048828125,2328.0,2328.0,997
2024-06-18 08:00:00-04:00,2327.89990234375,2328.300048828125,2327.10009765625,2327.60009765625,2327.60009765625,568
2024-06-18 08:05:00-04:00,2327.699951171875,2327.699951171875,2326.39990234375,2327.199951171875,2327.199951171875,308
2024-06-18 08:10:00-04:00,2327.300048828125,2328.300048828125,2327.300048828125,2327.89990234375,2327.89990234375,216
2024-06-18 08:15:00-04:00,2327.89990234375,2329.300048828125,2327.699951171875,2329.199951171875,2329.199951171875,729
2024-06-18 08:20:00-04:00,2329.300048828125,2330.10009765625,2326.699951171875,2327.60009765625,2327.60009765625,1248
2024-06-18 08:25:00-04:00,2327.5,2327.5,2326.0,2326.800048828125,2326.800048828125,668
2024-06-18 08:30:00-04:00,2326.89990234375,2334.5,2326.89990234375,2331.699951171875,2331.699951171875,4499
2024-06-18 08:35:00-04:00,2331.800048828125,2335.199951171875,2330.699951171875,2334.89990234375,2334.89990234375,2341
2024-06-18 08:40:00-04:00,2334.89990234375,2337.10009765625,2334.39990234375,2336.699951171875,2336.699951171875,1965
2024-06-18 08:45:00-04:00,2336.800048828125,2338.800048828125,2333.800048828125,2334.300048828125,2334.300048828125,2639
2024-06-18 08:50:00-04:00,2334.199951171875,2334.199951171875,2329.5,2330.300048828125,2330.300048828125,1600
2024-06-18 08:55:00-04:00,2330.300048828125,2330.300048828125,2327.10009765625,2328.39990234375,2328.39990234375,1671
2024-06-18 09:00:00-04:00,2328.5,2331.0,2328.300048828125,2330.60009765625,2330.60009765625,1589
2024-06-18 09:05:00-04:00,2330.5,2333.60009765625,2330.10009765625,2333.199951171875,2333.199951171875,1347
