Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
5/2/2024 4:00,2324.07,2326.43,2321.78,2324.65,4124,,,,,,,,,,,,
5/2/2024 8:00,2324.57,2325.56,2312.98,2314.74,8381,,,,,,,,,,,,
5/2/2024 12:00,2314.83,2319.05,2298.78,2301.66,12448,,,,,,,,,,,,
5/2/2024 16:00,2301.66,2304.44,2285.5,2290.32,16245,,,,,,,,,,,,
5/2/2024 20:00,2290.46,2308.52,2287.67,2307.97,16981,,,,,,,,,,,,
5/3/2024 0:00,2308.05,2309.43,2300.59,2302.94,6495,,,,,,,,,,,,
5/3/2024 4:00,2304.97,2306.3,2300.21,2302.45,7052,,,,,,,,,,,,
5/3/2024 8:00,2302.45,2308.75,2299.88,2306.28,7284,,,,,,,,,,,,
5/3/2024 12:00,2306.28,2306.36,2297.77,2301.25,13322,,,,,,,,,,,,
5/3/2024 16:00,2301.27,2320.59,2277.38,2297.2,17254,,,,,,,,,,,,
5/3/2024 20:00,2296.94,2303.08,2283.06,2302.52,16632,,,,,,,,,,,,
5/4/2024 0:00,2302.49,2303.27,2296,2300.95,5528,,,,,,,,,,,,
5/6/2024 4:00,2302.1,2309.08,2291.79,2308.15,10937,,,,,,,,,,,,
5/6/2024 8:00,2308.07,2315.31,2307.5,2314.06,10830,,,,,,,,,,,,
5/6/2024 12:00,2313.98,2324.15,2311.79,2321.16,13154,,,,,,,,,,,,
5/6/2024 16:00,2321.11,2331.99,2314.54,2328.76,16176,,,,,,,,,,,,
5/6/2024 20:00,2328.9,2330.51,2318.11,2325.23,15237,,,,,,,,,,,,
5/7/2024 0:00,2325.32,2328.73,2323.46,2324.31,5021,,,,,,,,,,,,
5/7/2024 4:00,2325.07,2329.88,2322.13,2322.71,9094,,,,,,,,,,,,
5/7/2024 8:00,2322.72,2325.06,2319.63,2320.67,9739,,,,,,,,,,,,
5/7/2024 12:00,2320.67,2321.93,2311.72,2312.93,12179,,,,,,,,,,,,
5/7/2024 16:00,2312.96,2323.63,2310.01,2318.47,14881,,,,,,,,,,,,
5/7/2024 20:00,2318.5,2322.43,2311.06,2313.93,14208,,,,,,,,,,,,
5/8/2024 0:00,2313.85,2315.53,2311.78,2313.76,4901,,,,,,,,,,,,
5/8/2024 4:00,2314.99,2316.63,2306.97,2308.06,6885,,,,,,,,,,,,
5/8/2024 8:00,2308.1,2321.32,2307.35,2317.53,9411,,,,,,,,,,,,
5/8/2024 12:00,2317.53,2318.77,2303.72,2311.05,14263,,,,,,,,,,,,
5/8/2024 16:00,2311.09,2318.9,2306.89,2310,17187,,,,,,,,,,,,
5/8/2024 20:00,2309.83,2321.01,2309.01,2313.63,13988,,,,,,,,,,,,
5/9/2024 0:00,2313.57,2313.73,2307.94,2308.63,5171,,,,,,,,,,,,
5/9/2024 4:00,2309.55,2312.16,2307.85,2309.23,6397,,,,,,,,,,,,
5/9/2024 8:00,2309.22,2319.69,2307.87,2316.12,9220,,,,,,,,,,,,
5/9/2024 12:00,2316.09,2317.05,2306.73,2307.62,13056,,,,,,,,,,,,
5/9/2024 16:00,2307.62,2329.33,2307.31,2324.15,16952,,,,,,,,,,,,
5/9/2024 20:00,2324.15,2338.71,2324.1,2334.29,15327,,,,,,,,,,,,
5/10/2024 0:00,2334.22,2347.17,2333.87,2345.1,6177,,,,,,,,,,,,
5/10/2024 4:00,2345.71,2355.79,2344.53,2349.94,8782,,,,,,,,,,,,
5/10/2024 8:00,2349.94,2358.78,2347.17,2356.51,10428,,,,,,,,,,,,
5/10/2024 12:00,2356.49,2375.26,2356.49,2372.85,14677,,,,,,,,,,,,
5/10/2024 16:00,2372.85,2378.32,2360.17,2368.71,17167,,,,,,,,,,,,
5/10/2024 20:00,2368.66,2372.92,2356.62,2370.09,16605,,,,,,,,,,,,
5/11/2024 0:00,2370.17,2370.36,2359.62,2360.77,4904,,,,,,,,,,,,
5/13/2024 4:00,2361.39,2364.42,2354.8,2358.77,9143,,,,,,,,,,,,
5/13/2024 8:00,2358.77,2359.82,2351.24,2353.03,9048,,,,,,,,,,,,
5/13/2024 12:00,2353.03,2354.37,2339.1,2339.48,13388,,,,,,,,,,,,
5/13/2024 16:00,2339.48,2349.78,2338.47,2344.3,15580,,,,,,,,,,,,
5/13/2024 20:00,2344.28,2345.95,2332.11,2336.35,14671,,,,,,,,,,,,
5/14/2024 0:00,2336.43,2338.44,2335.19,2336.45,4228,,,,,,,,,,,,
5/14/2024 4:00,2337.22,2342.69,2334.84,2342.6,6544,,,,,,,,,,,,
5/14/2024 8:00,2342.69,2345.9,2339.99,2344.68,8688,,,,,,,,,,,,
5/14/2024 12:00,2344.68,2348.19,2336.07,2346.16,13017,,,,,,,,,,,,
5/14/2024 16:00,2346.21,2355.16,2336.62,2355.07,16551,,,,,,,,,,,,
5/14/2024 20:00,2355.24,2357.03,2346.43,2356.45,16662,,,,,,,,,,,,
